age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,two_year_recid
69,F,Other,Male,0,-1.0,0
34,F,African-American,Male,0,-1.0,1
24,F,African-American,Male,4,-1.0,1
44,M,Other,Male,0,0.0,0
41,F,Caucasian,Male,14,-1.0,1
43,F,Other,Male,3,-1.0,0
39,M,Caucasian,Female,0,-1.0,0
21,F,Caucasian,Male,1,428.0,1
27,F,Caucasian,Male,0,-1.0,0
23,M,African-American,Male,3,0.0,1
37,M,Caucasian,Female,0,0.0,0
41,F,African-American,Male,0,-1.0,0
47,F,Caucasian,Female,1,-20.0,1
31,F,African-American,Male,7,22.0,1
37,M,Hispanic,Male,0,0.0,0
25,F,African-American,Male,3,-1.0,0
31,F,Caucasian,Male,6,-1.0,1
31,F,Caucasian,Male,5,-1.0,1
64,F,African-American,Male,13,-1.0,1
21,F,African-American,Male,1,-1.0,1
27,M,Caucasian,Male,0,0.0,1
21,F,Caucasian,Female,0,-2.0,0
24,F,Hispanic,Male,1,0.0,1
43,M,Caucasian,Male,1,-1.0,0
32,M,Other,Male,0,-1.0,0
27,F,African-American,Male,8,-1.0,1
36,F,Caucasian,Female,3,53.0,0
26,F,African-American,Male,5,-1.0,1
33,F,African-American,Male,0,0.0,1
30,F,Caucasian,Male,9,0.0,1
32,F,African-American,Male,4,-1.0,1
55,F,Caucasian,Male,0,-1.0,0
49,F,Other,Male,7,-1.0,1
26,M,Caucasian,Male,6,81.0,0
33,M,Caucasian,Female,4,-1.0,1
24,M,Caucasian,Male,1,0.0,1
34,F,African-American,Male,21,0.0,1
29,M,Caucasian,Male,0,0.0,0
21,F,African-American,Female,2,-1.0,0
51,M,African-American,Male,2,-1.0,0
29,M,Caucasian,Male,2,-1.0,1
51,F,African-American,Female,7,-1.0,0
29,F,African-American,Male,0,0.0,1
25,M,Caucasian,Male,9,-1.0,1
35,F,African-American,Male,13,-1.0,1
49,M,Caucasian,Male,0,0.0,0
34,M,African-American,Male,4,-59.0,1
29,F,African-American,Male,0,0.0,0
29,F,Caucasian,Male,1,-24.0,1
28,F,Other,Female,0,-1.0,0
48,F,Caucasian,Male,20,302.0,1
63,F,Hispanic,Female,1,-219.0,0
31,F,African-American,Male,15,-1.0,0
24,F,African-American,Male,2,-1.0,1
30,M,Hispanic,Male,0,0.0,0
49,M,African-American,Male,4,-1.0,0
53,F,Caucasian,Male,8,-13.0,0
35,F,African-American,Male,5,-1.0,0
63,M,African-American,Male,10,-38.0,1
27,F,African-American,Male,15,-1.0,1
38,M,Caucasian,Male,4,-1.0,1
22,F,African-American,Male,1,-1.0,1
22,F,African-American,Male,2,70.0,1
29,F,African-American,Male,4,-1.0,1
62,M,Hispanic,Male,0,0.0,0
27,F,African-American,Male,6,0.0,1
33,M,Other,Male,0,-1.0,0
56,M,African-American,Female,0,0.0,0
45,F,Hispanic,Male,6,-1.0,1
22,F,Hispanic,Male,1,-1.0,0
39,M,African-American,Male,1,-1.0,0
29,F,African-American,Male,5,0.0,1
27,F,Caucasian,Male,1,-1.0,1
40,F,African-American,Male,2,-15.0,0
22,M,African-American,Male,1,0.0,1
22,F,Caucasian,Male,0,-1.0,0
26,F,African-American,Female,1,-1.0,1
27,F,Caucasian,Male,1,-43.0,1
32,F,African-American,Male,0,-1.0,0
41,M,African-American,Male,1,-1.0,0
30,M,African-American,Male,8,-1.0,1
50,F,Other,Male,0,-1.0,1
25,F,African-American,Male,14,-1.0,1
20,F,Other,Male,0,-1.0,1
22,F,African-American,Male,2,0.0,1
23,M,African-American,Male,2,137.0,1
35,M,African-American,Female,1,-1.0,0
36,F,African-American,Male,9,0.0,1
26,F,Caucasian,Male,7,0.0,1
21,F,Other,Male,1,0.0,1
25,F,Caucasian,Male,9,-1.0,1
20,F,Caucasian,Female,0,-1.0,0
39,F,Caucasian,Male,2,-2.0,1
66,F,Caucasian,Male,3,-64.0,0
54,M,Caucasian,Female,0,0.0,0
44,M,Hispanic,Female,0,-2.0,0
19,M,African-American,Male,1,-10.0,1
24,F,African-American,Male,1,-137.0,0
30,F,African-American,Male,1,-1.0,0
39,F,Caucasian,Female,0,-1.0,1
24,F,Caucasian,Male,8,-1.0,1
30,F,Caucasian,Male,0,-1.0,0
31,M,Caucasian,Male,0,-1.0,0
39,F,Caucasian,Female,1,-1.0,0
59,F,African-American,Male,14,178.0,1
43,F,Caucasian,Male,1,-30.0,0
21,F,African-American,Male,3,-1.0,1
38,M,Caucasian,Male,5,-1.0,1
34,F,Caucasian,Male,0,0.0,0
33,F,African-American,Male,5,0.0,1
37,F,African-American,Male,3,0.0,0
42,F,Caucasian,Male,1,0.0,1
41,F,African-American,Male,10,0.0,1
22,F,African-American,Male,0,-1.0,1
33,F,African-American,Male,28,-1.0,1
31,M,African-American,Male,1,-1.0,0
30,F,Other,Female,1,-1.0,0
31,F,Caucasian,Male,13,-1.0,1
27,F,African-American,Male,3,-1.0,1
56,F,African-American,Male,8,67.0,0
52,M,Caucasian,Male,3,-2.0,0
33,F,African-American,Male,19,-1.0,1
64,M,Caucasian,Female,2,-47.0,0
22,F,Caucasian,Male,4,-36.0,1
42,F,Caucasian,Male,6,-4.0,0
25,F,Caucasian,Female,2,-1.0,0
30,M,Caucasian,Male,1,-20.0,0
37,M,Other,Female,2,-1.0,0
28,M,Caucasian,Male,0,-1.0,1
24,M,African-American,Female,0,-1.0,0
29,F,Caucasian,Female,10,-1.0,1
44,M,Caucasian,Male,2,0.0,1
30,F,Hispanic,Female,4,-35.0,1
32,F,African-American,Male,3,-1.0,1
31,M,Caucasian,Male,2,-16.0,1
31,M,African-American,Male,1,-1.0,0
59,F,Caucasian,Male,1,-1.0,1
20,F,African-American,Female,1,0.0,0
43,M,Caucasian,Female,0,0.0,0
38,F,African-American,Male,9,-1.0,1
32,F,African-American,Male,11,-2.0,1
33,M,African-American,Male,8,-1.0,1
31,F,African-American,Female,0,-1.0,1
33,F,African-American,Female,7,-1.0,1
27,F,African-American,Male,2,-1.0,1
20,F,African-American,Female,0,0.0,0
26,M,Caucasian,Female,0,-2.0,0
61,F,African-American,Female,1,-1.0,1
52,F,Other,Male,13,-1.0,1
63,F,Hispanic,Male,1,-26.0,0
32,F,African-American,Female,4,-7.0,1
29,F,Hispanic,Male,1,-1.0,0
26,M,African-American,Female,2,-1.0,1
55,M,African-American,Male,3,-51.0,0
39,M,Caucasian,Male,1,-1.0,0
30,F,Caucasian,Female,3,0.0,1
30,F,African-American,Male,1,0.0,0
48,M,Caucasian,Male,2,-1.0,0
22,F,African-American,Male,1,-1.0,0
46,F,Caucasian,Male,6,22.0,1
49,F,Caucasian,Female,6,-56.0,0
31,F,Caucasian,Male,0,0.0,0
25,M,African-American,Male,1,-1.0,1
23,F,Hispanic,Male,0,-1.0,0
32,F,African-American,Female,5,-1.0,0
52,M,Hispanic,Male,2,-1.0,0
62,F,African-American,Male,8,0.0,0
37,F,Caucasian,Female,6,-110.0,0
55,F,Caucasian,Male,1,-45.0,0
31,F,Hispanic,Male,8,29.0,1
28,M,African-American,Male,6,-1.0,1
54,F,Hispanic,Male,2,-1.0,0
58,F,Hispanic,Male,0,-1.0,0
78,M,Caucasian,Male,1,-1.0,1
56,F,Caucasian,Male,0,-1.0,0
24,F,Other,Male,0,-1.0,0
38,F,African-American,Male,22,-34.0,1
22,F,African-American,Male,1,0.0,1
47,M,African-American,Male,23,-1.0,1
23,M,African-American,Male,0,-1.0,1
57,F,Hispanic,Male,1,0.0,0
38,F,Caucasian,Female,2,-35.0,1
66,F,African-American,Male,3,-10.0,0
45,M,Caucasian,Male,8,0.0,1
32,F,African-American,Male,13,289.0,1
37,M,African-American,Male,2,0.0,1
39,F,Caucasian,Male,0,0.0,1
26,F,African-American,Male,9,0.0,1
45,F,Caucasian,Male,2,-1.0,0
23,F,African-American,Male,0,-1.0,1
34,M,African-American,Male,2,0.0,0
23,M,African-American,Female,1,-1.0,0
36,M,Other,Male,2,-1.0,1
50,F,Caucasian,Male,1,-4.0,0
37,M,Caucasian,Female,0,-1.0,0
44,M,Caucasian,Male,4,0.0,0
35,F,African-American,Female,23,-1.0,1
24,F,Other,Male,5,-1.0,1
26,F,African-American,Male,2,-1.0,1
27,M,African-American,Male,0,-1.0,0
28,F,African-American,Female,0,0.0,0
43,F,Caucasian,Male,11,49.0,1
28,F,Caucasian,Female,7,-1.0,1
38,F,African-American,Male,2,-1.0,0
27,M,Caucasian,Male,2,-36.0,0
28,F,African-American,Female,1,-1.0,0
56,F,Caucasian,Male,7,-1.0,1
38,F,African-American,Male,15,-1.0,0
28,M,African-American,Male,2,-1.0,0
45,F,African-American,Male,3,104.0,0
61,F,Caucasian,Male,1,-34.0,0
51,M,Caucasian,Female,0,-1.0,1
51,M,Caucasian,Male,0,-1.0,0
36,M,Other,Male,1,-1.0,1
48,F,African-American,Male,0,-1.0,0
37,F,Caucasian,Male,4,0.0,1
30,F,African-American,Female,2,-1.0,0
41,M,African-American,Female,5,0.0,0
27,F,African-American,Male,11,-1.0,1
37,M,African-American,Male,0,-1.0,0
33,F,Other,Male,4,0.0,1
54,F,African-American,Male,11,-1.0,0
23,F,African-American,Male,2,-1.0,0
26,F,African-American,Female,2,-227.0,1
41,M,African-American,Male,0,0.0,0
52,F,Caucasian,Male,0,-1.0,0
43,F,Caucasian,Male,13,0.0,1
52,F,African-American,Male,0,-1.0,0
28,F,Caucasian,Male,1,-3.0,0
30,M,African-American,Male,11,-1.0,1
28,F,Caucasian,Male,1,0.0,0
22,F,African-American,Male,0,-1.0,0
30,F,African-American,Male,4,0.0,0
25,F,Hispanic,Male,4,0.0,0
31,F,Caucasian,Male,0,-1.0,1
37,F,Caucasian,Male,0,-1.0,1
32,F,African-American,Male,14,-1.0,0
26,M,African-American,Male,4,649.0,0
53,M,Caucasian,Male,1,-1.0,0
28,F,African-American,Male,25,29.0,1
44,M,Caucasian,Male,8,-1.0,1
25,F,African-American,Male,0,0.0,0
22,M,Caucasian,Male,1,0.0,1
37,M,Other,Female,0,-1.0,0
40,F,Other,Female,3,-1.0,0
36,F,Caucasian,Male,8,150.0,1
30,F,Caucasian,Male,4,-140.0,0
22,M,African-American,Male,3,161.0,1
24,M,Caucasian,Female,1,-32.0,1
27,M,African-American,Male,3,-44.0,1
31,M,Hispanic,Female,0,-1.0,0
23,F,Hispanic,Male,1,-1.0,1
23,F,Caucasian,Female,5,-1.0,1
24,M,Hispanic,Male,0,-3.0,0
29,M,African-American,Male,1,-1.0,0
20,F,African-American,Male,1,-1.0,1
30,F,African-American,Male,2,-1.0,1
39,F,Other,Male,0,-1.0,0
27,F,African-American,Male,4,-1.0,0
31,M,Caucasian,Male,2,812.0,0
37,F,African-American,Female,2,0.0,0
20,F,African-American,Male,0,-1.0,0
22,F,Hispanic,Male,0,0.0,0
52,F,African-American,Female,0,-1.0,0
23,F,African-American,Female,0,-1.0,1
48,F,African-American,Female,0,-1.0,0
25,F,Caucasian,Male,0,0.0,0
27,F,Caucasian,Male,0,-1.0,1
30,F,African-American,Male,11,0.0,1
22,M,African-American,Male,3,-1.0,1
22,F,Caucasian,Female,1,-1.0,0
32,F,Caucasian,Male,2,-232.0,0
41,M,African-American,Female,2,-1.0,0
25,F,Other,Female,0,-1.0,0
44,M,African-American,Male,24,53.0,0
52,F,African-American,Male,3,0.0,1
43,F,African-American,Male,0,-1.0,0
37,F,Caucasian,Male,3,-4.0,0
28,M,African-American,Male,3,299.0,1
70,M,Caucasian,Male,1,-13.0,0
54,F,Caucasian,Male,6,-266.0,1
46,F,Caucasian,Male,3,-1.0,0
21,M,African-American,Male,0,-1.0,1
26,M,African-American,Male,1,-1.0,1
38,F,Hispanic,Male,3,23.0,1
34,M,Caucasian,Male,5,-1.0,0
19,F,African-American,Male,1,-48.0,1
34,M,African-American,Male,5,-1.0,0
23,F,Caucasian,Male,0,0.0,1
34,F,African-American,Male,5,-1.0,1
30,F,African-American,Male,2,-83.0,0
39,F,African-American,Male,6,-1.0,1
24,F,Other,Male,0,-1.0,0
33,M,Caucasian,Male,1,-93.0,1
58,F,Caucasian,Male,2,-1.0,0
21,M,African-American,Female,0,0.0,0
21,F,African-American,Male,1,-36.0,0
23,M,African-American,Male,4,-11.0,1
62,F,Caucasian,Male,0,0.0,0
27,M,African-American,Male,4,300.0,1
37,F,Caucasian,Male,5,-1.0,0
43,F,Other,Male,2,-1.0,1
32,F,African-American,Female,5,0.0,0
23,F,Hispanic,Male,0,-1.0,0
27,M,African-American,Male,0,0.0,0
44,M,Caucasian,Male,0,-1.0,1
28,M,Caucasian,Male,3,-1.0,1
